n_ewe_per_batch,n_batches,total_base_ewes,total_rams,pens_mate,pens_preg,pens_nurs,pens_rest,pens_fatt,pens_ram,total_pens,annual_output
4,11,44,1,1,8,2,1,11,0,23,140.26200873362444
11,4,44,1,1,6,2,1,8,0,18,140.26200873362444
1,43,43,4,4,28,8,4,40,0,84,137.07423580786025
1,42,42,4,4,28,8,4,39,0,83,133.88646288209608
2,21,42,2,2,14,4,2,20,0,42,133.88646288209608
3,14,42,2,2,10,3,2,13,0,30,133.88646288209608
6,7,42,1,1,5,2,1,7,0,16,133.88646288209608
7,6,42,1,1,4,4,1,6,0,16,133.88646288209608
14,3,42,1,1,4,3,1,6,0,15,133.88646288209608
1,41,41,4,4,27,8,4,38,0,81,130.6986899563319
1,40,40,4,4,27,7,4,37,0,79,127.51091703056768
2,20,40,2,2,14,4,2,19,0,41,127.51091703056768
4,10,40,1,1,7,2,1,10,0,21,127.51091703056768
5,8,40,1,1,6,2,1,8,0,18,127.51091703056768
8,5,40,1,1,4,2,1,10,0,18,127.51091703056768
10,4,40,1,1,6,2,1,8,0,18,127.51091703056768
1,39,39,4,4,26,7,4,36,0,77,124.32314410480349
3,13,39,2,2,9,3,2,12,0,28,124.32314410480349
13,3,39,1,1,4,3,1,6,0,15,124.32314410480349
1,38,38,4,4,25,7,4,35,0,75,121.1353711790393
2,19,38,2,2,13,4,2,18,0,39,121.1353711790393
1,37,37,4,4,25,7,4,34,0,74,117.9475982532751
1,36,36,4,4,24,7,4,34,0,73,114.75982532751091
2,18,36,2,2,12,4,2,17,0,37,114.75982532751091
3,12,36,2,2,8,3,2,12,0,27,114.75982532751091
4,9,36,1,1,6,2,1,9,0,19,114.75982532751091
6,6,36,1,1,4,2,1,6,0,14,114.75982532751091
9,4,36,1,1,6,2,1,8,0,18,114.75982532751091
12,3,36,1,1,4,2,1,6,0,14,114.75982532751091
1,35,35,4,4,23,7,4,33,0,71,111.57205240174673
5,7,35,1,1,5,2,1,7,0,16,111.57205240174673
7,5,35,1,1,4,2,1,5,0,13,111.57205240174673
1,34,34,3,3,23,6,3,32,0,67,108.38427947598254
2,17,34,2,2,12,3,2,16,0,35,108.38427947598254
1,33,33,3,3,22,6,3,31,0,65,105.19650655021834
3,11,33,1,1,8,2,1,11,0,23,105.19650655021834
11,3,33,1,1,4,2,1,6,0,14,105.19650655021834
1,32,32,3,3,21,6,3,30,0,63,102.00873362445415
2,16,32,2,2,11,3,2,15,0,33,102.00873362445415
4,8,32,1,1,6,2,1,8,0,18,102.00873362445415
8,4,32,1,1,3,2,1,8,0,15,102.00873362445415
1,31,31,3,3,21,6,3,29,0,62,98.82096069868996
1,30,30,3,3,20,6,3,28,0,60,95.63318777292577
2,15,30,2,2,10,3,2,14,0,31,95.63318777292577
3,10,30,1,1,7,2,1,10,0,21,95.63318777292577
5,6,30,1,1,4,2,1,6,0,14,95.63318777292577
6,5,30,1,1,4,1,1,5,0,12,95.63318777292577
10,3,30,1,1,4,2,1,6,0,14,95.63318777292577
1,29,29,3,3,19,6,3,27,0,58,92.44541484716157
1,28,28,3,3,19,5,3,26,0,56,89.25764192139738
2,14,28,2,2,10,3,2,13,0,30,89.25764192139738
4,7,28,1,1,5,2,1,7,0,16,89.25764192139738
7,4,28,1,1,3,2,1,4,0,11,89.25764192139738
14,2,28,1,1,4,3,1,4,0,13,89.25764192139738
1,27,27,3,3,18,5,3,25,0,54,86.06986899563319
3,9,27,1,1,6,2,1,9,0,19,86.06986899563319
9,3,27,1,1,4,2,1,6,0,14,86.06986899563319
1,26,26,3,3,17,5,3,24,0,52,82.882096069869
2,13,26,2,2,9,3,2,12,0,28,82.882096069869
13,2,26,1,1,4,3,1,4,0,13,82.882096069869
1,25,25,3,3,17,5,3,23,0,51,79.6943231441048
5,5,25,1,1,4,1,1,5,0,12,79.6943231441048
1,24,24,3,3,16,5,3,23,0,50,76.5065502183406
2,12,24,2,2,8,3,2,12,0,27,76.5065502183406
3,8,24,1,1,6,2,1,8,0,18,76.5065502183406
4,6,24,1,1,4,2,1,6,0,14,76.5065502183406
6,4,24,1,1,3,1,1,4,0,10,76.5065502183406
8,3,24,1,1,2,2,1,6,0,12,76.5065502183406
12,2,24,1,1,4,2,1,4,0,12,76.5065502183406
1,23,23,3,3,15,5,3,22,0,48,73.31877729257641
1,22,22,2,2,15,4,2,21,0,44,70.13100436681222
2,11,22,1,1,8,2,1,11,0,23,70.13100436681222
11,2,22,1,1,4,2,1,4,0,12,70.13100436681222
1,21,21,2,2,14,4,2,20,0,42,66.94323144104804
3,7,21,1,1,5,2,1,7,0,16,66.94323144104804
7,3,21,1,1,2,2,1,3,0,9,66.94323144104804
1,20,20,2,2,14,4,2,19,0,41,63.75545851528384
2,10,20,1,1,7,2,1,10,0,21,63.75545851528384
4,5,20,1,1,4,1,1,5,0,12,63.75545851528384
5,4,20,1,1,3,1,1,4,0,10,63.75545851528384
10,2,20,1,1,4,2,1,4,0,12,63.75545851528384
1,19,19,2,2,13,4,2,18,0,39,60.56768558951965
1,18,18,2,2,12,4,2,17,0,37,57.379912663755455
2,9,18,1,1,6,2,1,9,0,19,57.379912663755455
3,6,18,1,1,4,2,1,6,0,14,57.379912663755455
6,3,18,1,1,2,1,1,3,0,8,57.379912663755455
9,2,18,1,1,4,2,1,4,0,12,57.379912663755455
1,17,17,2,2,12,3,2,16,0,35,54.19213973799127
1,16,16,2,2,11,3,2,15,0,33,51.004366812227076
2,8,16,1,1,6,2,1,8,0,18,51.004366812227076
4,4,16,1,1,3,1,1,4,0,10,51.004366812227076
8,2,16,1,1,2,2,1,4,0,10,51.004366812227076
1,15,15,2,2,10,3,2,14,0,31,47.81659388646288
3,5,15,1,1,4,1,1,5,0,12,47.81659388646288
5,3,15,1,1,2,1,1,3,0,8,47.81659388646288
1,14,14,2,2,10,3,2,13,0,30,44.62882096069869
2,7,14,1,1,5,2,1,7,0,16,44.62882096069869
7,2,14,1,1,2,2,1,2,0,8,44.62882096069869
14,1,14,1,1,2,3,1,2,0,9,44.62882096069869
1,13,13,2,2,9,3,2,12,0,28,41.4410480349345
13,1,13,1,1,2,3,1,2,0,9,41.4410480349345
1,12,12,2,2,8,3,2,12,0,27,38.2532751091703
2,6,12,1,1,4,2,1,6,0,14,38.2532751091703
3,4,12,1,1,3,1,1,4,0,10,38.2532751091703
4,3,12,1,1,2,1,1,3,0,8,38.2532751091703
6,2,12,1,1,2,1,1,2,0,7,38.2532751091703
12,1,12,1,1,2,2,1,2,0,8,38.2532751091703
1,11,11,1,1,8,2,1,11,0,23,35.06550218340611
11,1,11,1,1,2,2,1,2,0,8,35.06550218340611
1,10,10,1,1,7,2,1,10,0,21,31.87772925764192
2,5,10,1,1,4,1,1,5,0,12,31.87772925764192
5,2,10,1,1,2,1,1,2,0,7,31.87772925764192
10,1,10,1,1,2,2,1,2,0,8,31.87772925764192
1,9,9,1,1,6,2,1,9,0,19,28.689956331877728
3,3,9,1,1,2,1,1,3,0,8,28.689956331877728
9,1,9,1,1,2,2,1,2,0,8,28.689956331877728
1,8,8,1,1,6,2,1,8,0,18,25.502183406113538
2,4,8,1,1,3,1,1,4,0,10,25.502183406113538
4,2,8,1,1,2,1,1,2,0,7,25.502183406113538
8,1,8,1,1,1,2,1,2,0,7,25.502183406113538
1,7,7,1,1,5,2,1,7,0,16,22.314410480349345
7,1,7,1,1,1,2,1,1,0,6,22.314410480349345
1,6,6,1,1,4,2,1,6,0,14,19.12663755458515
2,3,6,1,1,2,1,1,3,0,8,19.12663755458515
3,2,6,1,1,2,1,1,2,0,7,19.12663755458515
6,1,6,1,1,1,1,1,1,0,5,19.12663755458515
1,5,5,1,1,4,1,1,5,0,12,15.93886462882096
5,1,5,1,1,1,1,1,1,0,5,15.93886462882096
1,4,4,1,1,3,1,1,4,0,10,12.751091703056769
2,2,4,1,1,2,1,1,2,0,7,12.751091703056769
4,1,4,1,1,1,1,1,1,0,5,12.751091703056769
1,3,3,1,1,2,1,1,3,0,8,9.563318777292576
3,1,3,1,1,1,1,1,1,0,5,9.563318777292576
1,2,2,1,1,2,1,1,2,0,7,6.3755458515283845
2,1,2,1,1,1,1,1,1,0,5,6.3755458515283845
1,1,1,1,1,1,1,1,1,0,5,3.1877729257641922
